Distillation:  15%|███████                                        | 1499/10000 [18:24<1:44:07,  1.36it/s, align=0.7373, distill=5.9808, loss=15.7307]
Step 2900 | Loss: 12.6651 | L_distill: 4.2215 | L_align: 0.6806 | L_KL: 16.3733
Step 2950 | Loss: 148.7228 | L_distill: 89.4392 | L_align: 0.8864 | L_KL: 504.1992
Step 3000 | Loss: 262.7841 | L_distill: 161.5614 | L_align: 0.7545 | L_KL: 936.7783
Saved checkpoints to checkpoints/distill_e2e
Step 3050 | Loss: 22.7656 | L_distill: 10.3251 | L_align: 0.8304 | L_KL: 41.3683
Step 3100 | Loss: 319.1207 | L_distill: 218.8585 | L_align: 0.5608 | L_KL: 946.5430
Step 3150 | Loss: 917.0018 | L_distill: 636.9085 | L_align: 0.9858 | L_KL: 2702.3523
Step 3200 | Loss: 11.1230 | L_distill: 1.5811 | L_align: 0.8857 | L_KL: 6.8528
Step 3250 | Loss: 11.2298 | L_distill: 2.8724 | L_align: 0.7202 | L_KL: 11.5516
Step 3300 | Loss: 11.6838 | L_distill: 2.8521 | L_align: 0.7648 | L_KL: 11.8360
Step 3350 | Loss: 11.0195 | L_distill: 2.9159 | L_align: 0.6971 | L_KL: 11.3294
Step 3400 | Loss: 103.6479 | L_distill: 64.4562 | L_align: 1.1237 | L_KL: 279.5452
Step 3450 | Loss: 9.1252 | L_distill: 0.9817 | L_align: 0.7736 | L_KL: 4.0759
Step 3500 | Loss: 68.4732 | L_distill: 39.6301 | L_align: 0.8145 | L_KL: 206.9836
Saved checkpoints to checkpoints/distill_e2e
Step 3550 | Loss: 33.9533 | L_distill: 16.5133 | L_align: 1.0578 | L_KL: 68.6193
Step 3600 | Loss: 1060.9252 | L_distill: 750.1942 | L_align: 0.7826 | L_KL: 3029.0522
Step 3650 | Loss: 1682.4520 | L_distill: 1169.1389 | L_align: 1.0448 | L_KL: 5028.6475
Step 3700 | Loss: 66.1748 | L_distill: 37.6422 | L_align: 0.7549 | L_KL: 209.8392
Step 3750 | Loss: 265.9471 | L_distill: 180.2242 | L_align: 0.8178 | L_KL: 775.4510
Step 3800 | Loss: 11.0258 | L_distill: 1.9198 | L_align: 0.8455 | L_KL: 6.5123
Step 3850 | Loss: 8.5664 | L_distill: 1.2153 | L_align: 0.6865 | L_KL: 4.8600
Step 3900 | Loss: 26.5767 | L_distill: 11.3360 | L_align: 0.9855 | L_KL: 53.8548
Step 3950 | Loss: 77.8794 | L_distill: 46.7798 | L_align: 0.9616 | L_KL: 214.8348
Step 4000 | Loss: 90.9788 | L_distill: 60.5132 | L_align: 0.5898 | L_KL: 245.6793
Saved checkpoints to checkpoints/distill_e2e
Step 4050 | Loss: 80.0334 | L_distill: 54.1280 | L_align: 0.6329 | L_KL: 195.7590
Step 4100 | Loss: 63.9005 | L_distill: 43.3570 | L_align: 0.8444 | L_KL: 120.9934
Step 4150 | Loss: 9.4868 | L_distill: 0.6390 | L_align: 0.8596 | L_KL: 2.5199
Step 4200 | Loss: 405.7186 | L_distill: 248.1229 | L_align: 0.9340 | L_KL: 1482.5521
Step 4250 | Loss: 56.5660 | L_distill: 30.1295 | L_align: 1.1291 | L_KL: 151.4526
Step 4300 | Loss: 317.6930 | L_distill: 215.7957 | L_align: 1.0907 | L_KL: 909.9060
Step 4350 | Loss: 1715.4109 | L_distill: 1193.0356 | L_align: 0.8966 | L_KL: 5134.0908
Step 4400 | Loss: 1105.0111 | L_distill: 768.7970 | L_align: 0.8438 | L_KL: 3277.7600
Step 4450 | Loss: 34.7843 | L_distill: 17.8839 | L_align: 0.7621 | L_KL: 92.7975
Step 4500 | Loss: 146.7072 | L_distill: 96.2953 | L_align: 0.6814 | L_KL: 435.9797
Saved checkpoints to checkpoints/distill_e2e
Step 4550 | Loss: 35.6398 | L_distill: 18.2805 | L_align: 1.0928 | L_KL: 64.3154
Step 4600 | Loss: 13.5418 | L_distill: 3.7339 | L_align: 0.8165 | L_KL: 16.4282
Step 4650 | Loss: 96.1907 | L_distill: 58.9072 | L_align: 0.8222 | L_KL: 290.6193
Step 4700 | Loss: 10.7198 | L_distill: 1.0341 | L_align: 0.9260 | L_KL: 4.2552
Step 4750 | Loss: 10.8070 | L_distill: 1.3314 | L_align: 0.8996 | L_KL: 4.7953
Step 4800 | Loss: 23.2164 | L_distill: 10.2953 | L_align: 0.8650 | L_KL: 42.7059
Step 4850 | Loss: 132.4069 | L_distill: 87.3736 | L_align: 1.0675 | L_KL: 343.5807
Step 4900 | Loss: 1339.7605 | L_distill: 944.7621 | L_align: 0.8414 | L_KL: 3865.8489
Step 4950 | Loss: 11.3096 | L_distill: 1.7676 | L_align: 0.8845 | L_KL: 6.9651
Step 5000 | Loss: 536.6002 | L_distill: 374.0001 | L_align: 0.8345 | L_KL: 1542.5540
Saved checkpoints to checkpoints/distill_e2e
Step 5050 | Loss: 1454.8792 | L_distill: 1013.2948 | L_align: 0.8730 | L_KL: 4328.5405
Step 5100 | Loss: 12.2208 | L_distill: 2.5501 | L_align: 0.8625 | L_KL: 10.4581
Step 5150 | Loss: 1014.6655 | L_distill: 693.8431 | L_align: 1.1274 | L_KL: 3095.4858
Step 5200 | Loss: 2273.5122 | L_distill: 1595.5898 | L_align: 0.8105 | L_KL: 6698.1694
Step 5250 | Loss: 1505.5836 | L_distill: 1066.3888 | L_align: 0.8864 | L_KL: 4303.3076
Step 5300 | Loss: 1014.9388 | L_distill: 692.1926 | L_align: 0.7036 | L_KL: 3157.1016
Step 5350 | Loss: 17.6297 | L_distill: 5.0325 | L_align: 1.0304 | L_KL: 22.9330
Step 5400 | Loss: 9.4390 | L_distill: 1.6092 | L_align: 0.7194 | L_KL: 6.3608
Step 5450 | Loss: 937.5671 | L_distill: 651.2043 | L_align: 0.8795 | L_KL: 2775.6816
Step 5500 | Loss: 12.4043 | L_distill: 1.9594 | L_align: 0.9671 | L_KL: 7.7408
Saved checkpoints to checkpoints/distill_e2e
Step 5550 | Loss: 10.2481 | L_distill: 1.5997 | L_align: 0.7987 | L_KL: 6.6131
Step 5600 | Loss: 435.7482 | L_distill: 300.6105 | L_align: 0.8758 | L_KL: 1263.7961
Step 5650 | Loss: 1482.2654 | L_distill: 1036.4276 | L_align: 0.8877 | L_KL: 4369.6074
Step 5700 | Loss: 170.7139 | L_distill: 115.7039 | L_align: 0.8431 | L_KL: 465.7895
Step 5750 | Loss: 260.1785 | L_distill: 174.3125 | L_align: 1.0135 | L_KL: 757.3145
Step 5800 | Loss: 10.0348 | L_distill: 2.0323 | L_align: 0.7188 | L_KL: 8.1504
Step 5850 | Loss: 39.9489 | L_distill: 18.7354 | L_align: 0.8432 | L_KL: 127.8131
Step 5900 | Loss: 10.9710 | L_distill: 2.8891 | L_align: 0.6872 | L_KL: 12.1018
Step 5950 | Loss: 62.5652 | L_distill: 36.9484 | L_align: 0.8185 | L_KL: 174.3154
Step 6000 | Loss: 573.7823 | L_distill: 385.8602 | L_align: 0.8964 | L_KL: 1789.5780
Saved checkpoints to checkpoints/distill_e2e
Step 6050 | Loss: 65.4110 | L_distill: 40.2420 | L_align: 0.9081 | L_KL: 160.8851
Step 6100 | Loss: 86.8029 | L_distill: 56.3612 | L_align: 0.6910 | L_KL: 235.3184
Step 6150 | Loss: 87.0680 | L_distill: 55.3468 | L_align: 0.9224 | L_KL: 224.9683
Step 6200 | Loss: 12.7974 | L_distill: 1.8481 | L_align: 1.0275 | L_KL: 6.7470
Step 6250 | Loss: 183.3018 | L_distill: 116.3105 | L_align: 0.7926 | L_KL: 590.6517
Step 6300 | Loss: 9.3048 | L_distill: 1.0170 | L_align: 0.7924 | L_KL: 3.6366
Step 6350 | Loss: 24.2479 | L_distill: 11.4851 | L_align: 0.8124 | L_KL: 46.3918
